,refcode,C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,exp_a,exp_b,exp_c,exp_alpha,exp_beta,exp_gamma,exp_V,opt_a,opt_b,opt_c,opt_alpha,opt_beta,opt_gamma,opt_V,E_V,E_R,E_H,E_RH,K_V,K_R,K_H,K_RH,G_V,G_R,G_H,G_RH,n_H,A_L
2207,ZUVSAM,15.9,9.07,10.61,0.12,-0.15,1.0,9.07,18.44,11.14,-1.2,0.38,-0.38,10.61,11.14,23.63,2.02,2.14,0.34,0.12,-1.2,2.02,3.75,0.51,0.19,-0.15,0.38,2.14,0.51,2.84,0.1,1.0,-0.38,0.34,0.19,0.1,2.27,10.2017,12.9072,17.458,85.786,85.243,73.689,2195.6366036350373,10.33709405426198,12.534736338149418,17.42908884538141,84.36302208174912,85.64050820507943,76.39289218669641,2181.0632665465296,9.860144987572493,8.158231875588989,9.009188431580741,8.583710153584864,13.29,12.570556464030247,12.930278232015123,12.750417348022685,3.582,2.9307486299160237,3.2563743149580118,3.0935614724370177,0.3838314935205623,0.45213543252687605
2208,CAPDUU,13.79,6.31,6.66,0.0,0.02,0.0,6.31,23.78,5.58,-0.11,-0.08,-0.01,6.66,5.58,32.9,-0.08,0.01,-0.0,0.0,-0.11,-0.08,11.5,-0.0,-0.0,0.02,-0.08,0.01,-0.0,1.23,-0.0,0.0,-0.01,-0.0,-0.0,-0.0,0.82,6.984,10.983,17.125,90.0,90.0,90.0,1313.5777830000004,7.129147164796595,10.963114802853614,17.015126544401067,89.99991409256157,90.00005919197505,90.00147483888655,1329.862454693313,15.795429872148727,5.8692817427171065,10.832355807432917,8.350818775075012,11.952222222222222,10.691358772642651,11.321790497432437,11.006574635037545,6.171333333333334,2.0835157718493535,4.127424552591344,3.1054701622203487,0.33747223959114575,2.430610613214383
2209,QEMBUG,19.54,14.52,10.53,-0.0,0.18,-0.0,14.52,17.07,9.05,0.0,2.25,-0.0,10.53,9.05,15.38,0.0,-1.26,-0.0,-0.0,0.0,0.0,2.97,-0.0,0.77,0.18,2.25,-1.26,-0.0,3.74,0.0,-0.0,-0.0,-0.0,0.77,0.0,4.46,9.723,9.746,24.698000000000004,90.0,95.15,90.0,2330.9434224813795,9.639673166267135,9.724178874789043,24.790291933095904,90.0014476323959,94.16820794088206,89.99957632908651,2317.643544775822,9.47001762857362,7.363539159913541,8.41677839424358,7.890158777078561,13.354444444444445,12.552957568034463,12.953701006239454,12.753329287136959,3.4266666666666676,2.625646242165273,3.02615645441597,2.8259013482906212,0.3916320919840714,0.5985859331506496
2210,XAGJAQ,20.77,12.42,8.68,-1.21,-1.12,3.61,12.42,17.73,8.86,-2.02,-0.49,-3.28,8.68,8.86,17.44,1.31,-0.52,0.16,-1.21,-2.02,1.31,3.42,-0.48,-0.57,-1.12,-0.49,-0.52,-0.48,3.42,-1.96,3.61,-3.28,0.16,-0.57,-1.96,10.7,9.9639,12.435000000000002,5.851,92.92000000000002,95.07999999999998,76.135,700.7268160933643,9.907022248115544,11.9482169948035,5.940680146012975,97.09075524262828,96.57362794622354,76.74262826500082,676.5218607489203,13.841915184678522,8.070664805679565,10.956289995179043,9.513477400429304,12.873333333333333,12.316622842247009,12.594978087790171,12.45580046501859,5.239999999999999,2.901469904690019,4.070734952345009,3.4861024285175137,0.35411528371346984,1.3224878872879604
2211,PIQBUO,13.98,10.87,10.53,-0.0,-0.66,0.0,10.87,14.99,7.11,0.01,-1.21,0.0,10.53,7.11,15.14,0.01,1.21,0.0,-0.0,0.01,0.01,5.69,0.0,0.29,-0.66,-1.21,1.21,0.0,4.43,0.0,0.0,0.0,0.0,0.29,0.0,6.64,5.8548,8.8892,28.273,90.0,93.574,90.0,1468.5920113355378,5.886764751466183,8.923895886200356,28.012848791442256,90.00042606285061,93.1759381941222,90.00019002053389,1469.335309019213,11.657208545483176,8.069795840292407,9.863502192887792,8.9666490165901,11.236666666666668,11.045088439407674,11.140877553037171,11.092982996222423,4.3919999999999995,2.927595098286907,3.659797549143453,3.2936963237151797,0.35195963983792217,0.9071197946371994
2212,UTEJAG,43.39,10.13,12.91,-0.01,-7.72,0.01,10.13,21.77,11.25,0.01,2.67,0.0,12.91,11.25,26.17,0.01,-2.53,0.0,-0.01,0.01,0.01,5.59,0.0,2.96,-7.72,2.67,-2.53,0.0,8.04,0.0,0.01,0.0,0.0,2.96,0.0,2.67,21.5319,3.7406,19.509,90.0,122.55199999999998,90.0,1324.4527500721283,21.37627097061236,3.691395280635256,19.92556383870509,90.00325356689018,121.29889358425442,90.00296202970746,1343.4742807485134,18.70905852080089,7.809412103344856,13.259235312072875,10.534323707708865,17.76777777777778,16.33023368660014,17.04900573218896,16.68961970939455,7.062666666666667,2.749217989745969,4.905942328206318,3.8275801589761436,0.3687149874921925,2.111430246111674
2213,OKAYAB,16.79,6.47,10.89,0.0,0.02,-0.0,6.47,18.99,7.98,0.0,0.0,-0.0,10.89,7.98,16.69,-0.0,0.01,0.0,0.0,0.0,-0.0,2.77,-0.0,-0.0,0.02,0.0,0.01,-0.0,4.61,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.65,19.741,11.726,10.651,90.0,90.0,90.0,2465.525070866,18.858021518785137,11.315737749469536,10.85071976797072,89.99970363478128,89.99968617089064,90.00110582359402,2315.4614144240686,10.301137930432658,9.298432035364131,9.799784982898395,9.549108509131262,11.461111111111112,11.426475784840873,11.443793447975992,11.435134616408433,3.8146666666666667,3.407584311618247,3.6111254891424567,3.5093549003803517,0.35723957564783354,0.2523576590471032
2214,AFEREK,20.66,13.41,9.98,-0.0,-0.94,-0.0,13.41,17.28,11.92,0.0,1.57,-0.0,9.98,11.92,17.09,0.0,-0.09,-0.0,-0.0,0.0,0.0,7.16,-0.0,3.03,-0.94,1.57,-0.09,-0.0,3.41,0.0,-0.0,-0.0,-0.0,3.03,0.0,7.42,11.2358,9.1056,15.913099999999998,90.0,104.5787,90.0,1575.6299948442086,11.203478965510053,9.076770554719664,15.486345333029067,90.00055765868966,103.00758996007043,89.99955864993872,1534.41857292152,13.190797646522494,9.129536381267236,11.160167013894865,10.14485169758105,13.961111111111112,13.770568714472805,13.865839912791959,13.818204313632382,4.9126666666666665,3.285177580020676,4.098922123343671,3.6920498516821736,0.36545159897523494,0.8998901792873778
2215,YIYCOA,16.62,5.57,7.3,-0.0,1.02,-0.01,5.57,24.12,10.92,0.01,-0.1,-0.01,7.3,10.92,13.6,-0.0,0.46,-0.01,-0.0,0.01,-0.0,4.61,0.0,0.65,1.02,-0.1,0.46,0.0,2.69,0.0,-0.01,-0.01,-0.01,0.65,0.0,2.28,10.1733,11.156,16.361,90.0,90.877,90.0,1856.6469324387224,10.043770012080074,11.074657798285273,16.542190581756085,89.99877461615074,89.78139095362798,89.99874521731968,1839.9962321445307,10.622153316106806,8.666624571960583,9.644388944033693,9.155506757997138,11.324444444444445,10.589755460512677,10.957099952478561,10.77342770649562,3.952666666666667,3.1778459377246455,3.5652563021956563,3.371551119960151,0.35322749960605515,0.49247010944353464
2216,JEHWAX,20.93,10.01,10.22,-0.0,0.35,-0.02,10.01,19.6,10.3,-0.07,-0.5,0.03,10.22,10.3,17.94,0.01,0.5,-0.02,-0.0,-0.07,0.01,2.12,-0.04,-0.5,0.35,-0.5,0.5,-0.04,3.9,0.01,-0.02,0.03,-0.02,-0.5,0.01,5.18,5.014,11.531,18.198,90.266,95.463,90.212,1047.3441554380645,5.177938588746877,11.19460488340569,18.199358092713315,90.15930419187568,95.21879005560508,90.03384375492536,1050.5478644726156,11.15896205949726,9.955028169747449,10.556995114622353,10.256011642184902,13.281111111111109,13.231414439906324,13.256262775508716,13.24383860770752,4.102666666666666,3.621054085672688,3.861860376169677,3.741457230921182,0.36723116120213467,0.27924744970917986
2217,YAGGIY,18.85,10.2,9.39,1.13,0.56,-1.93,10.2,12.21,9.99,-1.72,-0.14,-0.63,9.39,9.99,19.41,1.3,-0.65,-1.7,1.13,-1.72,1.3,4.37,-1.1,0.05,0.56,-0.14,-0.65,-1.1,4.23,1.51,-1.93,-0.63,-1.7,0.05,1.51,3.25,10.092,12.585000000000004,18.523,96.404,95.279,103.39,2257.375829422522,9.96813514170178,12.849613504896867,18.159974900323217,94.8122706127823,96.89964214797396,100.07187165078356,2260.4880816143186,10.23423675548719,5.626265646674529,7.93025120108086,6.778258423877695,12.181111111111111,11.042911614814074,11.612011362962592,11.327461488888332,3.762666666666667,1.9879605830204925,2.8753136248435798,2.431637103932036,0.3856320259353939,1.4300217221906733
2218,HIKWEF,24.88,7.94,10.23,0.18,-0.01,-0.01,7.94,16.76,9.87,-1.64,-0.01,-0.01,10.23,9.87,22.78,-3.22,-0.0,0.0,0.18,-1.64,-3.22,3.46,-0.0,0.0,-0.01,-0.01,-0.0,-0.0,4.45,0.28,-0.01,-0.01,0.0,0.0,0.28,-3.73,37.8883,4.7233,11.6835,90.0,90.0,90.0,2090.853542641064,39.23628944017587,4.619109084017151,12.717919136551496,109.14405123819208,90.0008953163792,90.00520074519609,2177.482967910707,9.04924626201222,18.379767982581463,13.71450712229684,16.047137552439153,13.388888888888891,12.126411304174585,12.757650096531737,12.442030700353161,3.2613333333333334,7.367310504239905,5.314321918786619,6.340816211513262,0.31711443560703,1.8248983968796555
2219,IDEXOF,21.4,4.48,5.89,-0.0,0.87,0.0,4.48,17.78,7.3,0.0,0.13,-0.01,5.89,7.3,15.99,0.0,-0.24,0.01,-0.0,0.0,0.0,4.26,-0.0,0.49,0.87,0.13,-0.24,-0.0,4.17,0.0,0.0,-0.01,0.01,0.49,0.0,3.09,9.969,10.816,11.889,90.0,112.1,90.0,1187.7429074891622,9.87848537660784,10.649062011863933,11.81292680552697,89.99925361130643,112.40709685760817,90.00054052432571,1148.8559933358997,12.43237948190084,11.339441698531402,11.88591059021612,11.612676144373761,10.056666666666665,10.01538816683646,10.036027416751562,10.025707791794012,4.804,4.323741502242961,4.563870751121481,4.443806126682221,0.3025549317510178,0.23555600615943104
2220,LOLGUP,15.7,15.15,8.75,-0.0,-0.27,0.0,15.15,17.68,6.54,0.02,-0.14,0.01,8.75,6.54,32.14,0.03,-5.27,-0.01,-0.0,0.02,0.03,2.68,0.02,1.65,-0.27,-0.14,-5.27,0.02,2.34,-0.01,0.0,0.01,-0.01,1.65,-0.01,13.22,8.502,5.3559,27.363,90.0,95.564,90.0,1240.1272886358795,8.984233466962836,5.032881925326716,27.210454269559087,89.99958973714139,95.88895086276877,89.9993575043695,1223.8707559790903,15.725574951510115,4.9823591763031985,10.353967063906657,7.668163120104928,14.044444444444446,12.405251062576598,13.224847753510522,12.81504940804356,5.986666666666667,1.738362373427174,3.8625145200469206,2.800438446737047,0.3669232126509262,2.767885906336811
2221,FEDNAE,14.45,8.78,6.62,0.0,1.01,0.02,8.78,13.66,8.15,-0.01,1.02,-0.02,6.62,8.15,13.21,0.0,-1.05,-0.0,0.0,-0.01,0.0,1.33,-0.0,1.03,1.01,1.02,-1.05,-0.0,2.65,0.0,0.02,-0.02,-0.0,1.03,0.0,5.4,7.173,12.267,7.868000000000001,90.0,100.75,90.0,680.1648433158837,6.985819712698383,12.301887793799258,7.915570535065647,89.99971526957515,100.38908093537783,90.0008831925167,669.102208419987,8.318194709124814,5.99130500517118,7.154749857147997,6.573027431159588,9.824444444444444,9.741919001622998,9.78318172303372,9.762550362328358,3.060666666666667,2.14358025958782,2.602123463127244,2.372851861357532,0.3778409591180514,0.7964321521748273
2222,EGABUK,16.34,12.59,6.7,-0.0,0.69,0.08,12.59,17.52,8.02,-0.01,1.01,0.03,6.7,8.02,13.79,0.0,-0.21,-0.05,-0.0,-0.01,0.0,3.41,0.0,0.97,0.69,1.01,-0.21,0.0,1.95,0.06,0.08,0.03,-0.05,0.97,0.06,5.9,9.954,10.21,17.411,90.0,98.054,90.0,1752.0324577476497,9.83046167439564,10.282525242677249,17.708424778969142,89.9993596344228,99.39391482043963,90.00040711971526,1765.99764371966,9.788056660830813,7.920515888375887,8.85428627460335,8.387401081489617,11.363333333333332,10.658077413157383,11.010705373245358,10.83439139320137,3.608,2.877797028240339,3.24289851412017,3.0603477711802545,0.3659036303560783,0.509682240869564
2223,AZIJAW,13.42,10.45,7.81,0.02,0.94,-0.01,10.45,17.26,8.04,0.01,1.25,-0.01,7.81,8.04,20.15,-0.0,-2.32,-0.01,0.02,0.01,-0.0,4.27,0.0,-0.06,0.94,1.25,-2.32,0.0,3.46,-0.0,-0.01,-0.01,-0.01,-0.06,-0.0,4.63,6.5138,28.886,8.037,90.0,100.174,90.0,1488.4444506121251,6.40758976273877,29.122914115410683,8.041225472376256,89.99907176279703,102.08527353483396,89.99800350251901,1467.2978131716295,11.010301852235813,9.354685684716177,10.182493768475995,9.768589726596087,11.492222222222223,11.240779560660034,11.366500891441127,11.30364022605058,4.107333333333333,3.4359424020970226,3.771637867715178,3.6037901349061006,0.35061298073944325,0.39971222258939115
2224,LOQLUZ,20.76,8.72,11.25,-1.05,6.53,0.0,8.72,14.98,6.56,-1.28,0.98,0.8,11.25,6.56,14.31,-0.64,2.89,-0.48,-1.05,-1.28,-0.64,2.11,-1.28,-0.65,6.53,0.98,2.89,-1.28,8.39,0.18,0.0,0.8,-0.48,-0.65,0.18,3.62,7.7974,8.565099999999997,18.5186,81.64400000000002,85.742,64.51699999999998,1104.5049191750447,7.561482186647383,8.212286596425356,18.725085335256058,82.82536117014222,86.33789894401517,64.36257884114278,1040.026958622898,11.683068985088491,8.029546400383651,9.85630769273607,8.942927046559861,11.456666666666669,9.671234829119946,10.563950747893308,10.117592788506627,4.392,2.9485162121435198,3.67025810607176,3.30938715910764,0.3443139534191771,0.9069971245032408
2225,PEFJOZ,18.97,9.43,11.23,0.0,5.03,0.0,9.43,14.04,9.18,0.0,-2.45,-0.0,11.23,9.18,12.08,-0.0,1.36,-0.0,0.0,0.0,-0.0,5.31,-0.0,-2.67,5.03,-2.45,1.36,-0.0,4.99,-0.0,0.0,-0.0,-0.0,-2.67,-0.0,4.7,20.202,6.322,8.996000000000002,90.0,90.16,90.0,1148.9380479816857,20.27467707289715,6.085388260706384,9.106477355444166,90.00180934332279,95.8805734305554,89.99932608691834,1117.6380769023324,10.807040746447527,3.980814895942097,7.393927821194811,5.687371358568454,11.64111111111111,10.94971249270024,11.295411801905676,11.122562147302958,4.016666666666667,1.3827962430247,2.699731454845683,2.0412638489351917,0.38931282866727446,2.3852051768916067
2226,WOQREB,13.42,18.48,9.12,-4.53,-0.14,6.2,18.48,46.75,11.87,-14.9,-8.94,23.11,9.12,11.87,14.86,-1.05,1.43,2.02,-4.53,-14.9,-1.05,9.15,3.67,-9.28,-0.14,-8.94,1.43,3.67,5.47,-5.3,6.2,23.11,2.02,-9.28,-5.3,15.41,8.6445,12.082199999999998,13.2869,103.255,107.303,97.032,1262.2235587482949,8.418192023214386,12.353455781317455,13.153641253595778,103.3650105102737,106.46191940160504,97.82713798276292,1246.1209905602866,21.603942490228924,3.188400976405081,12.396171733317003,7.792286354861042,17.10777777777778,8.62225803252131,12.865017905149546,10.74363796883543,8.376666666666667,1.1083391791292356,4.742502922897951,2.9254210510135934,0.3358524352512198,4.574251757471675
2227,IREQOM,6.56,3.21,4.96,-0.03,0.09,-0.08,3.21,6.47,5.19,-0.02,0.02,-0.04,4.96,5.19,9.17,-0.0,0.08,-0.04,-0.03,-0.02,-0.0,1.69,-0.01,0.04,0.09,0.02,0.08,-0.01,2.03,-0.01,-0.08,-0.04,-0.04,0.04,-0.01,2.64,10.9729,24.074,28.356,90.0,90.0,90.0,7490.5661764776,11.59470758659633,25.182484583472803,28.09843898335912,89.91768325071726,90.09283318540786,89.94478184436629,8204.258760107048,5.011912520182005,4.567689457400875,4.7898009887914395,4.678745223096158,5.435555555555556,4.847179176050703,5.141367365803129,4.994273270926916,1.8613333333333333,1.70062622305566,1.7809797781944967,1.7408030006250783,0.34472787246192754,0.23214738829887846
2228,JIZJOR01,16.12,11.99,9.0,-0.0,-0.0,0.0,11.99,14.07,8.48,0.0,0.0,0.0,9.0,8.48,14.12,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.87,0.0,-0.0,-0.0,0.0,-0.0,0.0,3.14,-0.0,0.0,0.0,-0.0,-0.0,-0.0,5.95,17.1642,16.825,12.4068,90.0,90.0,90.0,3582.9308021219986,17.10039090863802,16.97548312691137,12.299961826109625,90.00987460884306,90.00068634999647,90.0025502580406,3570.5238489783897,9.236538088435013,7.743546511775519,8.490042300105266,8.116794405940393,11.472222222222223,11.177341211179092,11.324781716700658,11.251061463939875,3.381333333333333,2.796442922250485,3.0888881277919094,2.942665525021197,0.3749884513056937,0.4254758442918973
2229,VOJCII,14.85,6.72,10.07,-0.0,0.0,-0.0,6.72,15.56,10.47,0.01,0.0,-0.0,10.07,10.47,18.74,-0.0,0.0,-0.0,-0.0,0.01,-0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,-0.0,-0.0,-0.0,0.0,0.0,5.11,6.7501,17.4344,19.5104,90.0,90.0,90.0,2296.0608100917752,6.311117011132323,17.668181513606303,19.663497851243285,90.00042259968734,89.99980969108347,90.00016486594717,2192.597222600928,11.318751460782291,10.785412821407133,11.052082141094711,10.918747481250922,11.518888888888888,10.902586640314436,11.210737764601662,11.05666220245805,4.235333333333333,4.039103604939742,4.1372184691365375,4.088161037038139,0.33569179058198545,0.11948265728094924
2230,TAFHEQ,15.53,11.09,10.63,0.03,-1.56,-0.0,11.09,15.2,9.2,0.03,-0.2,-0.0,10.63,9.2,19.28,0.02,-4.22,0.0,0.03,0.03,0.02,5.22,0.01,0.17,-1.56,-0.2,-4.22,0.01,4.41,0.0,-0.0,-0.0,0.0,0.17,0.0,6.03,11.5512,7.5173,22.879,90.0,91.554,90.0,1985.9406501211383,11.81453392231399,7.388392963425667,23.0629657110812,89.99961971459217,90.59892029714014,89.99834060191256,2013.06595947427,11.817836467728526,9.334197543072415,10.57601700540047,9.955107274236443,12.427777777777779,11.491529375685804,11.959653576731792,11.725591476208798,4.404666666666667,3.4200669277999993,3.912366797233333,3.6662168625166665,0.35251685328154164,0.5711312740585566
2231,LIKNUR,15.87,8.33,10.29,-0.05,3.17,0.02,8.33,11.64,10.47,-0.11,-1.25,0.05,10.29,10.47,21.72,-0.12,2.92,0.08,-0.05,-0.11,-0.12,-1.67,0.01,4.25,3.17,-1.25,2.92,0.01,4.59,-0.0,0.02,0.05,0.08,4.25,-0.0,-1.42,14.6238,4.8493,12.6229,90.0,112.2978,90.0,828.2195118716081,15.008686151335183,4.965976317512777,13.1715479221337,90.01566515138823,117.252752234994,89.98199686384264,872.7372247339388,4.711820399152558,7.4196160175633175,6.0657182083579375,6.7426671129606275,11.934444444444445,10.616037522558496,11.27524098350147,10.945639253029984,1.6426666666666667,2.6814356019153736,2.16205113429102,2.421743368103197,0.40988393186544136,1.101978907867553
2232,TACXAX,13.95,8.02,8.27,-0.0,-1.64,0.0,8.02,10.49,7.23,-0.0,-0.17,-0.0,8.27,7.23,12.42,-0.0,0.17,0.0,-0.0,-0.0,-0.0,3.58,-0.0,0.24,-1.64,-0.17,0.17,-0.0,4.69,0.0,0.0,-0.0,0.0,0.24,0.0,3.06,18.2951,7.2694,27.035,90.0,109.378,90.0,3391.8187875952417,17.976816428221227,7.319381606561128,26.4976465775462,90.00051105871698,109.26004700738622,89.99948583414005,3291.4011914462035,8.506280658912239,7.548422063471267,8.027351361191753,7.78788671233151,9.322222222222223,9.032321318903577,9.1772717705629,9.104796544733238,3.155333333333333,2.773697722902218,2.9645155281177757,2.869106625509997,0.35418661295566917,0.289983749010592
2233,MIRBUK,14.97,7.98,9.97,1.14,-1.71,0.48,7.98,24.21,8.76,1.1,1.58,2.74,9.97,8.76,18.81,1.34,0.51,-1.0,1.14,1.1,1.34,5.28,-0.88,1.58,-1.71,1.58,0.51,-0.88,4.08,0.45,0.48,2.74,-1.0,1.58,0.45,3.27,9.3467,10.3219,11.2026,90.849,102.318,116.28199999999998,939.3488371974668,9.341304406014697,10.404533091877193,11.15320507077407,90.59835298260326,101.89751414201896,117.52106189374948,933.6805118742432,12.305946312797419,8.605429408937463,10.45568786086744,9.530558634902452,12.378888888888891,11.696705267573492,12.037797078231192,11.867251172902343,4.611333333333333,3.1238376935692034,3.867585513451268,3.4957116035102356,0.3548965347514655,0.8726902638776318
2234,BUQLEG,18.18,10.03,10.58,-0.0,0.59,0.0,10.03,22.3,13.21,-0.0,1.35,0.0,10.58,13.21,14.9,0.0,1.92,0.01,-0.0,-0.0,0.0,5.95,-0.0,-0.2,0.59,1.35,1.92,-0.0,2.57,0.0,0.0,0.0,0.01,-0.2,0.0,4.98,8.5563,10.2899,10.1182,90.0,104.315,90.0,863.1817460694924,8.546240360371181,10.09503820721693,10.14880510545594,90.00020912024154,103.853253760864,89.99998012167684,850.11547238429,11.274471616752319,8.945960278536981,10.110215947644651,9.528088113090817,13.66888888888889,12.383382619829556,13.026135754359224,12.704759187094389,4.137333333333333,3.242236206589331,3.6897847699613324,3.466010488275332,0.37058893790351516,0.5540020598500126
2235,QIMGIE,90.0,47.29,48.9,-0.03,-18.74,-0.0,47.29,85.89,24.25,-0.02,-5.58,-0.0,48.9,24.25,55.89,0.0,-10.75,0.0,-0.03,-0.02,0.0,7.71,0.01,-1.12,-18.74,-5.58,-10.75,0.01,14.1,0.0,-0.0,-0.0,0.0,-1.12,0.0,15.51,10.605,13.962,8.528999999999998,90.0,95.71399999999998,90.0,1256.5887027444646,10.228206996030412,13.948321480937706,8.50547592484309,90.00572432311115,91.70036979512808,90.00090287097963,1212.9106204101888,40.80452253924069,30.692446389336425,35.74848446428856,33.220465426812495,52.51777777777777,38.99702037015759,45.75739907396768,42.37720972206264,14.886666666666665,11.211232699936309,13.048949683301487,12.130091191618899,0.3697892816285149,0.7004339230211568
2236,YUXCIE,19.95,10.59,11.13,-0.0,-1.92,0.01,10.59,20.61,13.13,-0.0,1.63,0.01,11.13,13.13,19.12,0.01,5.16,0.01,-0.0,-0.0,0.01,6.92,0.0,-1.0,-1.92,1.63,5.16,0.0,8.62,0.0,0.01,0.01,0.01,-1.0,0.0,6.05,8.0372,6.2067,8.667899999999998,90.0,108.69,90.0,409.59200700838375,8.036477805258626,6.067214023908192,8.778839078235345,89.99838969805529,108.85219919249144,90.0027090818484,405.085181460017,15.739915818058382,11.738583463291816,13.739249640675098,12.738916551983458,14.375555555555556,13.960238967348541,14.167897261452048,14.064068114400294,5.973333333333333,4.316109694870336,5.1447215141018345,4.730415604486085,0.3380411489714287,0.7272029104042438
2237,RAXDUS,14.46,9.35,8.59,-0.0,-2.09,0.01,9.35,16.17,8.39,-0.0,-1.48,-0.0,8.59,8.39,13.64,0.0,-0.63,0.0,-0.0,-0.0,0.0,2.14,-0.0,-0.08,-2.09,-1.48,-0.63,-0.0,4.88,-0.0,0.01,-0.0,0.0,-0.08,-0.0,3.43,16.934,10.835,22.188,90.0,104.04000000000002,90.0,3949.435626209233,17.07398290729255,10.684612368420469,22.52234139541101,90.00026403964061,104.008475273599,89.99941898387337,3986.531927584361,8.947971120350601,8.17300689870339,8.560489009526997,8.366747954115194,10.770000000000001,10.306505659080448,10.538252829540225,10.422379244310337,3.2860000000000005,2.9875722672058305,3.1367861336029152,3.0621792004043726,0.36460517794091335,0.21739292822649356
2238,HEXJEA,12.94,8.2,6.72,0.0,-0.0,0.04,8.2,14.51,9.2,-0.0,-0.03,-0.02,6.72,9.2,11.72,-0.0,-0.02,0.02,0.0,-0.0,-0.0,1.32,0.0,0.0,-0.0,-0.03,-0.02,0.0,2.26,0.0,0.04,-0.02,0.02,0.0,0.0,3.0,9.682,19.389,21.673,90.0,90.0,90.0,4068.548710553999,9.701193376648927,19.20516757921734,21.6346843974462,90.00268992774322,90.00028879581289,89.99967216456805,4030.823912691853,6.444968421498815,5.8494924099098204,6.147230415704318,5.9983614128070695,9.712222222222222,9.406651257379783,9.559436739801003,9.483043998590393,2.3193333333333337,2.094551867838082,2.206942600585708,2.150747234211895,0.39281570980904884,0.23017589673549896
2239,DAGHAW,22.37,8.63,9.02,-0.0,-0.39,0.0,8.63,22.67,8.67,-0.0,-0.87,0.0,9.02,8.67,25.61,-0.0,0.08,0.0,-0.0,-0.0,-0.0,4.07,-0.0,-1.2,-0.39,-0.87,0.08,-0.0,4.08,0.0,0.0,0.0,0.0,-1.2,0.0,2.56,4.8982,20.047,11.0803,90.0,91.959,90.0,1087.3854650413434,4.938648010027197,20.090336531844017,10.828089168321403,90.00003379572438,92.53858465640025,89.99941619130749,1073.2989194229233,13.604585588315945,10.85499069171172,12.229788140013833,11.542389415862775,13.698888888888888,13.602322655583183,13.650605772236036,13.62646421390961,5.097333333333334,3.9703816757011934,4.533857504517264,4.252119590109229,0.3504850970441712,0.558738213554385
2240,UNEJIH,17.72,5.72,9.09,-0.01,0.01,-0.01,5.72,12.92,6.27,-0.01,0.0,0.01,9.09,6.27,15.89,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,2.4,-0.0,-0.0,0.01,0.0,0.0,-0.0,4.07,0.0,-0.01,0.01,-0.01,-0.0,0.0,2.38,9.4358,11.1669,36.887,90.0,90.0,90.0,3886.732839982742,9.448246419635469,11.177020319141624,36.43940228213767,90.0001938617182,89.99767671197047,90.00093216077586,3848.119021585255,9.308467050156425,8.582461942530237,8.94546449634333,8.763963219436784,9.854444444444445,9.462172468203791,9.658308456324118,9.560240462263955,3.4666666666666672,3.181450280271939,3.324058473469303,3.252754376870621,0.3456271028671771,0.1962309970925997
2241,EZUVIE,15.91,7.39,9.26,0.0,0.04,-0.0,7.39,16.51,9.22,-0.0,-0.03,-0.0,9.26,9.22,13.84,0.0,1.23,-0.0,0.0,-0.0,0.0,3.49,-0.0,0.61,0.04,-0.03,1.23,-0.0,3.4,-0.0,-0.0,-0.0,-0.0,0.61,-0.0,4.1,14.3975,14.3635,34.20000000000001,90.0,97.394,90.0,7013.697978335658,14.215972533420707,14.246289402964194,34.1326946141096,90.0016408035309,96.73875593599112,90.00098791876609,6864.962662611341,9.623969375736161,8.884370697829945,9.254170036783053,9.0692703673065,10.888888888888891,10.82134376805175,10.85511632847032,10.838230048261035,3.5573333333333337,3.258726786504625,3.4080300599189792,3.333378423211802,0.35789366399423317,0.19614517397072087
2242,YAVDOR,23.69,7.17,9.03,0.0,2.29,0.0,7.17,14.36,6.74,-0.0,-2.32,0.0,9.03,6.74,24.25,0.0,2.26,0.0,0.0,-0.0,0.0,1.45,0.01,-0.79,2.29,-2.32,2.26,0.01,6.19,0.0,0.0,0.0,0.0,-0.79,0.0,1.47,12.4832,7.8567,22.7343,90.0,95.742,90.0,2218.518868974427,12.426927892952028,7.7288712719200925,22.69524634167814,89.99608207617872,96.27255331035911,89.99773364249758,2166.7409657023186,11.87400088875722,5.634129736510365,8.754065312633792,7.194097524572078,12.02,11.104593468337345,11.562296734168672,11.333445101253009,4.446,1.9902418688118415,3.2181209344059205,2.604181401608881,0.3726505742427242,1.7989814091017682
